location,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cloudcover_mean,shortwave_radiation_sum
Bengaluru,2022-01-01,25.8,18.0,2.3,22.1,95,15.25
Bengaluru,2022-01-02,26.9,16.1,0.0,18.8,62,19.52
Bengaluru,2022-01-03,26.8,15.5,0.0,16.6,65,18.28
Bengaluru,2022-01-04,26.4,16.2,0.0,16.2,46,20.92
Bengaluru,2022-01-05,26.3,14.7,0.0,15.9,78,21.37
Bengaluru,2022-01-06,26.9,16.0,0.0,15.5,46,20.65
Bengaluru,2022-01-07,26.2,17.2,0.1,17.2,60,16.55
Bengaluru,2022-01-08,26.9,17.7,0.0,17.3,73,16.44
Bengaluru,2022-01-09,26.9,17.0,0.0,13.7,57,17.47
Bengaluru,2022-01-10,26.9,17.0,0.2,16.2,66,19.66
Bengaluru,2022-01-11,27.8,16.2,0.1,14.3,50,20.39
Bengaluru,2022-01-12,27.0,18.0,0.2,13.0,64,19.01
Bengaluru,2022-01-13,27.3,17.0,0.0,14.7,57,21.29
Bengaluru,2022-01-14,27.2,17.5,0.0,13.0,83,21.1
Bengaluru,2022-01-15,28.1,16.1,0.0,16.6,81,21.75
Bengaluru,2022-01-16,26.9,18.1,0.5,18.2,85,19.71
Bengaluru,2022-01-17,26.7,17.2,0.2,19.5,93,19.44
Bengaluru,2022-01-18,27.2,15.9,0.0,14.7,63,18.85
Bengaluru,2022-01-19,27.0,15.7,0.0,13.6,43,22.09
Bengaluru,2022-01-20,28.1,13.7,0.0,13.0,34,22.28
Bengaluru,2022-01-21,30.1,15.1,0.0,18.0,54,22.51
Bengaluru,2022-01-22,29.1,14.3,0.0,12.5,42,22.16
Bengaluru,2022-01-23,28.4,14.4,0.0,12.9,1,22.59
Bengaluru,2022-01-24,27.4,13.7,0.0,13.2,25,22.59
Bengaluru,2022-01-25,27.5,14.1,0.0,14.2,56,19.75
Bengaluru,2022-01-26,27.3,16.7,0.0,13.0,60,20.02
Bengaluru,2022-01-27,25.1,17.3,2.3,16.6,70,14.88
Bengaluru,2022-01-28,26.5,17.0,0.0,24.0,45,19.08
Bengaluru,2022-01-29,27.8,15.9,0.0,19.3,78,18.09
Bengaluru,2022-01-30,28.1,17.0,0.2,12.5,68,16.96
Bengaluru,2022-01-31,29.6,17.8,0.0,15.5,44,21.56
Bengaluru,2022-02-01,29.4,18.1,0.0,11.6,24,22.72
Bengaluru,2022-02-02,29.8,16.6,0.0,13.7,41,23.0
Bengaluru,2022-02-03,28.9,16.6,0.0,13.5,11,22.23
Bengaluru,2022-02-04,29.3,15.4,0.0,12.3,21,24.08
Bengaluru,2022-02-05,29.6,16.1,0.0,14.4,65,23.49
Bengaluru,2022-02-06,28.2,17.5,0.0,15.9,47,20.35
Bengaluru,2022-02-07,28.9,18.4,0.0,13.8,60,20.15
Bengaluru,2022-02-08,28.7,16.1,0.0,12.9,71,22.62
Bengaluru,2022-02-09,28.5,15.3,0.0,17.6,48,23.3
Bengaluru,2022-02-10,28.8,15.8,0.0,16.3,62,24.03
Bengaluru,2022-02-11,29.0,15.8,0.0,20.7,49,24.23
Bengaluru,2022-02-12,28.7,16.2,0.0,20.5,5,23.65
Bengaluru,2022-02-13,28.5,16.1,0.0,15.5,36,22.89
Bengaluru,2022-02-14,28.2,15.8,0.0,16.8,53,21.04
Bengaluru,2022-02-15,28.6,16.9,0.0,17.1,66,21.17
Bengaluru,2022-02-16,29.4,15.9,0.0,19.2,66,19.55
Bengaluru,2022-02-17,29.4,16.4,0.0,21.8,41,21.45
Bengaluru,2022-02-18,29.3,15.1,0.0,20.4,24,23.82
Bengaluru,2022-02-19,29.6,15.9,0.0,16.3,15,24.84
Bengaluru,2022-02-20,30.7,15.9,0.0,15.5,37,24.96
Bengaluru,2022-02-21,31.4,16.9,0.0,12.1,33,24.72
Bengaluru,2022-02-22,31.3,18.6,0.0,19.8,8,23.72
Bengaluru,2022-02-23,29.8,16.9,0.0,17.8,49,24.94
Bengaluru,2022-02-24,28.9,15.8,0.0,14.9,16,25.61
Bengaluru,2022-02-25,30.6,14.6,0.0,16.6,37,25.9
Bengaluru,2022-02-26,29.6,15.6,0.0,16.0,22,25.68
Bengaluru,2022-02-27,29.9,17.3,0.0,16.8,35,25.38
Bengaluru,2022-02-28,29.3,15.9,0.0,17.6,0,25.97
Bengaluru,2022-03-01,30.0,16.9,0.0,19.1,77,24.71
Bengaluru,2022-03-02,30.1,17.2,0.0,19.7,83,25.56
Bengaluru,2022-03-03,30.4,16.3,0.0,22.4,78,25.29
Bengaluru,2022-03-04,31.2,16.0,0.0,23.2,80,25.96
Bengaluru,2022-03-05,30.8,15.8,0.0,20.4,62,25.69
Bengaluru,2022-03-06,30.6,17.2,0.0,22.6,76,21.73
Bengaluru,2022-03-07,27.7,17.6,3.4,22.5,60,19.2
Bengaluru,2022-03-08,30.1,17.2,0.1,17.1,26,25.74
Bengaluru,2022-03-09,31.7,17.5,0.0,17.7,15,26.05
Bengaluru,2022-03-10,32.4,18.7,0.0,18.3,11,25.27
Bengaluru,2022-03-11,32.3,18.1,0.0,18.8,5,26.45
Bengaluru,2022-03-12,32.1,17.8,0.0,19.6,21,26.13
Bengaluru,2022-03-13,31.8,18.5,0.0,19.1,57,24.03
Bengaluru,2022-03-14,32.7,18.7,0.0,17.9,19,25.98
Bengaluru,2022-03-15,33.0,17.7,0.0,13.5,63,26.22
Bengaluru,2022-03-16,33.1,17.3,0.0,20.4,76,25.89
Bengaluru,2022-03-17,33.7,18.3,0.0,16.5,99,25.93
Bengaluru,2022-03-18,34.1,19.1,0.0,15.1,53,24.78
Bengaluru,2022-03-19,32.2,19.1,0.0,19.9,43,20.86
Bengaluru,2022-03-20,29.8,21.9,0.0,10.6,83,9.15
Bengaluru,2022-03-21,32.9,19.7,0.2,17.1,49,20.68
Bengaluru,2022-03-22,31.1,20.9,0.0,12.2,81,17.01
Bengaluru,2022-03-23,32.8,20.8,0.0,15.8,34,22.6
Bengaluru,2022-03-24,32.6,20.5,0.4,21.1,56,21.97
Bengaluru,2022-03-25,32.1,20.2,0.0,13.9,39,22.2
Bengaluru,2022-03-26,33.1,20.1,0.0,14.3,36,23.29
Bengaluru,2022-03-27,34.1,20.7,0.0,19.7,9,24.15
Bengaluru,2022-03-28,34.2,20.7,0.0,15.2,14,23.84
Bengaluru,2022-03-29,33.9,21.1,0.1,13.0,14,24.08
Bengaluru,2022-03-30,33.8,21.4,0.2,16.0,26,23.27
Bengaluru,2022-03-31,32.2,21.6,0.0,11.1,38,21.31
Bengaluru,2022-04-01,33.4,21.6,0.0,16.4,34,22.97
Bengaluru,2022-04-02,32.7,20.2,0.0,14.0,14,23.66
Bengaluru,2022-04-03,33.6,19.8,0.0,19.1,7,26.41
Bengaluru,2022-04-04,32.8,19.6,0.0,19.2,47,25.47
Bengaluru,2022-04-05,33.0,19.5,0.0,22.3,41,25.41
Bengaluru,2022-04-06,33.7,18.8,0.0,15.6,41,26.71
Bengaluru,2022-04-07,35.2,19.9,0.0,26.6,17,25.74
Bengaluru,2022-04-08,33.1,19.3,0.1,15.5,49,24.39
Bengaluru,2022-04-09,33.6,20.4,0.0,17.2,81,24.64
Bengaluru,2022-04-10,34.0,20.2,0.0,18.8,81,25.26
Bengaluru,2022-04-11,33.9,20.3,0.0,17.5,83,25.88
Bengaluru,2022-04-12,33.2,20.8,0.0,18.8,99,24.08
Bengaluru,2022-04-13,31.5,21.6,2.5,21.9,97,19.92
Bengaluru,2022-04-14,32.1,20.8,12.8,15.8,95,16.69
Bengaluru,2022-04-15,33.6,20.3,5.3,13.2,64,23.31
Bengaluru,2022-04-16,33.7,20.1,4.2,21.4,26,24.69
Bengaluru,2022-04-17,32.9,19.2,10.5,21.8,36,19.89
Bengaluru,2022-04-18,31.6,19.1,0.2,15.9,41,21.95
Bengaluru,2022-04-19,33.1,19.4,0.0,17.1,67,24.68
Bengaluru,2022-04-20,34.3,20.5,0.0,15.9,23,24.75
Bengaluru,2022-04-21,33.6,20.7,0.0,18.2,13,25.56
Bengaluru,2022-04-22,33.3,20.0,0.0,19.5,34,25.73
Bengaluru,2022-04-23,32.9,20.4,0.0,16.3,91,24.17
Bengaluru,2022-04-24,33.1,20.2,0.0,13.9,72,19.36
Bengaluru,2022-04-25,34.6,20.8,0.0,15.1,21,24.02
Bengaluru,2022-04-26,34.6,21.4,0.0,14.7,8,25.12
Bengaluru,2022-04-27,35.2,21.1,0.0,17.3,4,26.09
Bengaluru,2022-04-28,34.8,21.8,0.0,14.5,5,25.96
Bengaluru,2022-04-29,37.0,21.7,0.0,18.0,43,25.59
Bengaluru,2022-04-30,34.6,21.7,0.0,17.3,36,24.13
Bengaluru,2022-05-01,34.1,21.6,0.0,14.2,34,23.37
Bengaluru,2022-05-02,34.1,21.6,0.0,13.0,53,24.2
Bengaluru,2022-05-03,34.0,20.6,1.6,21.6,48,23.41
Bengaluru,2022-05-04,33.2,21.2,0.7,11.2,43,24.46
Bengaluru,2022-05-05,31.3,20.2,0.6,16.7,47,19.64
Bengaluru,2022-05-06,30.9,20.2,10.7,10.5,40,19.75
Bengaluru,2022-05-07,31.4,20.1,0.6,15.5,45,22.07
Bengaluru,2022-05-08,32.9,19.6,0.1,14.6,96,22.42
Bengaluru,2022-05-09,31.5,19.8,0.1,13.7,100,17.83
Bengaluru,2022-05-10,27.1,21.3,4.9,23.9,100,6.89
Bengaluru,2022-05-11,25.4,20.7,0.4,27.7,100,6.97
Bengaluru,2022-05-12,24.7,20.2,20.6,22.1,100,11.04
Bengaluru,2022-05-13,27.2,20.1,18.1,20.4,100,11.15
Bengaluru,2022-05-14,28.7,20.2,14.6,16.3,100,14.94
Bengaluru,2022-05-15,29.1,20.7,17.3,15.6,100,18.34
Bengaluru,2022-05-16,27.5,20.9,25.1,15.0,100,14.32
Bengaluru,2022-05-17,27.9,20.6,18.0,10.9,100,14.9
Bengaluru,2022-05-18,27.2,20.4,13.4,16.2,100,12.33
Bengaluru,2022-05-19,24.5,19.1,0.9,26.3,94,14.0
Bengaluru,2022-05-20,26.1,18.4,4.9,22.9,88,18.82
Bengaluru,2022-05-21,26.8,19.2,0.5,27.8,86,18.95
Bengaluru,2022-05-22,27.7,19.7,0.6,23.1,85,18.99
Bengaluru,2022-05-23,29.4,19.6,0.3,20.0,78,25.09
Bengaluru,2022-05-24,29.4,20.1,0.4,14.6,81,23.37
Bengaluru,2022-05-25,29.5,20.4,0.5,13.3,56,21.69
Bengaluru,2022-05-26,29.4,19.8,3.6,12.6,40,21.73
Bengaluru,2022-05-27,29.3,19.8,0.1,15.5,47,25.43
Bengaluru,2022-05-28,29.4,19.1,0.3,15.5,15,25.66
Bengaluru,2022-05-29,29.6,19.4,0.0,14.6,26,25.69
Bengaluru,2022-05-30,29.8,19.4,6.2,22.0,51,22.94
Bengaluru,2022-05-31,29.3,19.2,2.1,16.6,96,22.91
Bengaluru,2022-06-01,29.1,19.3,4.8,18.9,82,19.84
Bengaluru,2022-06-02,29.4,19.4,0.5,16.2,90,22.32
Bengaluru,2022-06-03,29.7,19.6,8.7,24.0,62,25.28
Bengaluru,2022-06-04,31.3,19.7,9.4,14.0,53,25.1
Bengaluru,2022-06-05,30.2,20.2,15.1,21.0,76,23.08
Bengaluru,2022-06-06,29.0,19.8,7.4,13.8,100,22.17
Bengaluru,2022-06-07,27.2,19.8,1.3,18.4,96,15.13
Bengaluru,2022-06-08,29.3,19.8,0.4,19.5,60,24.31
Bengaluru,2022-06-09,29.5,19.9,0.7,20.9,82,24.4
Bengaluru,2022-06-10,28.9,19.3,1.8,21.2,98,21.96
Bengaluru,2022-06-11,28.4,19.2,1.6,20.7,98,21.53
Bengaluru,2022-06-12,28.3,19.2,11.0,19.7,70,21.74
Bengaluru,2022-06-13,28.7,19.2,0.1,16.9,62,23.11
Bengaluru,2022-06-14,29.2,19.4,11.8,14.0,78,23.23
Bengaluru,2022-06-15,27.6,20.5,0.5,16.6,96,17.0
Bengaluru,2022-06-16,28.6,19.9,10.2,15.0,100,20.45
Bengaluru,2022-06-17,28.1,19.4,7.7,12.2,100,18.57
Bengaluru,2022-06-18,26.6,19.4,24.1,10.7,88,17.07
Bengaluru,2022-06-19,27.5,19.9,3.0,12.4,94,18.2
Bengaluru,2022-06-20,27.9,19.1,1.7,16.2,92,20.4
Bengaluru,2022-06-21,26.9,19.7,7.1,19.9,100,15.39
Bengaluru,2022-06-22,26.1,19.8,0.9,19.7,98,16.82
Bengaluru,2022-06-23,26.7,19.6,0.9,21.1,98,13.6
Bengaluru,2022-06-24,27.4,19.3,1.2,25.1,100,18.96
Bengaluru,2022-06-25,27.8,19.5,10.2,27.2,100,17.92
Bengaluru,2022-06-26,27.1,20.1,1.0,27.5,98,19.23
Bengaluru,2022-06-27,27.8,19.6,0.5,23.8,100,19.26
Bengaluru,2022-06-28,27.3,19.4,1.0,19.5,100,16.31
Bengaluru,2022-06-29,27.6,19.8,3.0,22.6,90,17.23
Bengaluru,2022-06-30,27.6,19.4,13.3,19.7,88,17.71
Bengaluru,2022-07-01,27.2,19.5,6.3,24.9,88,18.79
Bengaluru,2022-07-02,28.1,19.6,3.4,24.1,99,19.51
Bengaluru,2022-07-03,28.0,19.9,4.9,20.0,100,16.46
Bengaluru,2022-07-04,25.2,20.2,1.7,29.2,100,10.68
Bengaluru,2022-07-05,24.0,19.7,10.3,27.2,100,8.93
Bengaluru,2022-07-06,24.8,19.6,3.6,25.9,100,10.41
Bengaluru,2022-07-07,24.0,19.7,15.2,24.5,100,13.05
Bengaluru,2022-07-08,26.1,19.5,1.4,31.1,100,18.21
Bengaluru,2022-07-09,23.6,19.4,11.4,27.7,100,10.66
Bengaluru,2022-07-10,24.9,19.4,4.1,30.1,100,13.02
Bengaluru,2022-07-11,24.0,19.2,5.0,27.8,100,11.23
Bengaluru,2022-07-12,26.0,18.9,0.9,32.0,97,16.8
Bengaluru,2022-07-13,26.2,19.6,3.3,32.8,100,15.89
Bengaluru,2022-07-14,26.1,19.5,5.3,34.8,92,18.67
Bengaluru,2022-07-15,26.9,19.6,1.7,29.2,92,19.79
Bengaluru,2022-07-16,27.1,19.6,7.2,29.0,100,17.86
Bengaluru,2022-07-17,27.6,19.7,5.0,27.0,100,16.17
Bengaluru,2022-07-18,26.7,20.0,5.0,22.1,100,13.76
Bengaluru,2022-07-19,27.4,18.8,1.8,17.7,86,19.64
Bengaluru,2022-07-20,28.6,19.7,18.6,12.2,90,21.64
Bengaluru,2022-07-21,27.9,19.9,10.0,17.3,87,18.96
Bengaluru,2022-07-22,26.8,19.9,12.9,16.9,100,15.8
Bengaluru,2022-07-23,26.9,19.2,1.6,19.8,95,16.5
Bengaluru,2022-07-24,26.2,18.6,1.7,22.5,100,18.23
Bengaluru,2022-07-25,27.3,18.6,0.3,19.8,100,22.23
Bengaluru,2022-07-26,26.8,19.0,2.5,16.8,96,18.15
Bengaluru,2022-07-27,28.3,18.2,5.6,13.7,69,21.16
Bengaluru,2022-07-28,27.9,19.0,4.9,12.2,86,19.8
Bengaluru,2022-07-29,28.9,18.6,5.0,12.5,85,21.97
Bengaluru,2022-07-30,28.2,18.8,12.7,12.9,81,21.09
Bengaluru,2022-07-31,28.1,19.2,9.9,11.5,98,19.63
Bengaluru,2022-08-01,27.8,19.8,39.6,12.0,98,19.34
Bengaluru,2022-08-02,27.5,19.6,25.0,14.1,100,16.26
Bengaluru,2022-08-03,26.7,19.1,17.7,11.4,100,14.25
Bengaluru,2022-08-04,24.9,19.6,17.6,18.9,100,10.5
Bengaluru,2022-08-05,23.1,19.6,24.2,31.9,100,10.0
Bengaluru,2022-08-06,24.9,19.5,5.2,28.6,100,14.08
Bengaluru,2022-08-07,23.9,19.9,5.2,29.9,100,12.04
Bengaluru,2022-08-08,25.8,19.7,3.7,32.4,100,15.33
Bengaluru,2022-08-09,26.3,19.8,0.9,36.6,99,19.19
Bengaluru,2022-08-10,26.4,19.3,2.5,34.9,98,20.05
Bengaluru,2022-08-11,27.1,19.3,1.7,32.0,81,20.24
Bengaluru,2022-08-12,26.6,19.9,1.0,28.2,82,17.9
Bengaluru,2022-08-13,27.3,19.1,0.5,23.1,100,18.12
Bengaluru,2022-08-14,26.1,18.6,0.0,22.5,100,15.85
Bengaluru,2022-08-15,27.5,18.2,0.0,18.4,100,20.69
Bengaluru,2022-08-16,27.6,18.5,0.3,12.8,85,23.76
Bengaluru,2022-08-17,27.9,18.5,0.2,11.9,82,22.61
Bengaluru,2022-08-18,28.2,19.2,0.9,16.9,97,21.83
Bengaluru,2022-08-19,27.5,19.8,0.3,19.2,100,19.38
Bengaluru,2022-08-20,27.0,19.0,0.3,16.9,100,17.68
Bengaluru,2022-08-21,25.9,19.2,3.6,17.6,95,14.93
Bengaluru,2022-08-22,27.2,19.3,4.4,23.5,77,19.59
Bengaluru,2022-08-23,27.4,19.2,3.2,20.6,86,19.37
Bengaluru,2022-08-24,25.7,19.1,8.0,19.0,100,13.56
Bengaluru,2022-08-25,26.6,19.1,9.3,18.0,95,16.41
Bengaluru,2022-08-26,26.0,19.0,20.2,16.4,100,13.98
Bengaluru,2022-08-27,27.3,19.3,16.7,17.0,100,16.2
Bengaluru,2022-08-28,26.9,19.2,4.2,16.3,85,17.75
Bengaluru,2022-08-29,27.1,19.1,17.3,10.7,100,14.45
Bengaluru,2022-08-30,27.9,19.2,9.3,14.7,93,21.81
Bengaluru,2022-08-31,27.4,19.4,5.2,20.1,100,17.01
Bengaluru,2022-09-01,27.0,19.4,12.5,14.4,100,14.47
Bengaluru,2022-09-02,27.5,19.0,1.4,12.1,67,20.25
Bengaluru,2022-09-03,27.8,18.9,1.6,8.6,50,20.83
Bengaluru,2022-09-04,28.4,18.9,11.8,11.9,60,19.77
Bengaluru,2022-09-05,28.6,19.2,5.8,12.4,71,20.57
Bengaluru,2022-09-06,27.5,18.2,12.7,11.0,79,20.75
Bengaluru,2022-09-07,26.2,19.7,8.1,16.6,100,13.99
Bengaluru,2022-09-08,23.4,19.5,7.3,18.9,100,9.82
Bengaluru,2022-09-09,26.1,19.3,3.0,22.6,100,17.72
Bengaluru,2022-09-10,26.6,19.8,8.9,23.5,100,14.9
Bengaluru,2022-09-11,26.8,19.4,2.6,30.4,99,19.1
Bengaluru,2022-09-12,26.9,19.4,0.8,31.1,100,20.49
Bengaluru,2022-09-13,26.9,18.5,1.2,22.4,84,18.14
Bengaluru,2022-09-14,27.0,19.3,1.2,19.2,88,18.09
Bengaluru,2022-09-15,26.3,18.6,0.8,18.7,88,16.15
Bengaluru,2022-09-16,27.4,18.2,0.1,17.9,65,20.28
Bengaluru,2022-09-17,27.1,18.5,0.4,14.4,66,20.95
Bengaluru,2022-09-18,27.1,18.4,0.4,14.8,92,21.23
Bengaluru,2022-09-19,27.3,18.8,0.4,20.9,100,17.52
Bengaluru,2022-09-20,27.2,17.4,0.1,21.0,100,21.01
Bengaluru,2022-09-21,26.9,17.8,0.9,17.8,78,19.17
Bengaluru,2022-09-22,27.4,18.2,0.0,20.5,86,23.15
Bengaluru,2022-09-23,27.0,17.4,0.4,16.9,69,23.98
Bengaluru,2022-09-24,27.9,18.1,1.6,17.9,55,22.25
Bengaluru,2022-09-25,27.7,18.2,0.6,14.5,63,23.12
Bengaluru,2022-09-26,26.3,19.3,3.0,16.3,97,15.07
Bengaluru,2022-09-27,27.5,19.8,1.2,16.4,96,18.21
Bengaluru,2022-09-28,27.8,19.8,0.3,14.3,99,20.97
Bengaluru,2022-09-29,27.8,18.7,0.0,17.1,99,22.39
Bengaluru,2022-09-30,24.8,18.6,8.1,19.7,100,12.09
Bengaluru,2022-10-01,22.8,19.4,6.0,17.9,100,6.2
Bengaluru,2022-10-02,26.8,19.4,0.9,20.4,100,16.66
Bengaluru,2022-10-03,26.7,18.5,0.7,19.2,100,16.83
Bengaluru,2022-10-04,26.7,18.4,0.2,19.0,100,17.39
Bengaluru,2022-10-05,27.2,18.9,1.2,17.9,100,19.97
Bengaluru,2022-10-06,25.6,19.0,5.5,16.8,100,13.97
Bengaluru,2022-10-07,26.7,17.6,1.1,14.5,86,19.45
Bengaluru,2022-10-08,26.9,16.4,0.1,11.3,86,20.22
Bengaluru,2022-10-09,26.0,18.7,15.9,13.8,100,12.87
Bengaluru,2022-10-10,26.7,19.2,9.7,9.4,100,15.22
Bengaluru,2022-10-11,25.8,19.6,6.5,13.9,87,16.28
Bengaluru,2022-10-12,26.0,18.7,23.6,10.8,97,14.88
Bengaluru,2022-10-13,26.3,18.6,21.9,9.8,92,17.39
Bengaluru,2022-10-14,26.4,18.9,8.2,10.3,98,16.13
Bengaluru,2022-10-15,27.3,18.7,7.8,13.8,95,20.0
Bengaluru,2022-10-16,26.5,18.8,17.1,13.8,92,16.39
Bengaluru,2022-10-17,27.2,19.4,2.7,16.2,56,19.63
Bengaluru,2022-10-18,26.3,18.9,2.9,9.7,96,15.26
Bengaluru,2022-10-19,27.1,18.1,6.5,7.2,90,18.15
Bengaluru,2022-10-20,26.8,18.1,10.7,15.3,82,19.35
Bengaluru,2022-10-21,27.0,18.0,2.7,18.9,80,18.58
Bengaluru,2022-10-22,26.7,17.4,0.0,16.8,88,23.13
Bengaluru,2022-10-23,25.6,16.0,0.0,13.6,37,24.1
Bengaluru,2022-10-24,24.9,14.8,0.0,15.7,25,24.6
Bengaluru,2022-10-25,25.0,13.7,0.0,10.7,10,24.76
Bengaluru,2022-10-26,25.5,14.5,0.0,10.3,9,23.95
Bengaluru,2022-10-27,27.0,15.3,0.0,12.4,28,23.22
Bengaluru,2022-10-28,25.8,17.1,0.3,15.5,33,17.23
Bengaluru,2022-10-29,25.9,18.0,1.0,19.0,94,18.15
Bengaluru,2022-10-30,25.8,18.3,1.5,17.6,85,16.11
Bengaluru,2022-10-31,26.3,17.6,0.0,16.5,62,21.21
Bengaluru,2022-11-01,24.5,17.0,14.0,16.4,95,12.15
Bengaluru,2022-11-02,23.6,17.4,9.9,19.4,95,9.09
Bengaluru,2022-11-03,25.1,18.5,0.3,19.1,81,17.64
Bengaluru,2022-11-04,26.6,18.8,1.3,20.0,76,19.35
Bengaluru,2022-11-05,26.8,18.9,0.5,18.7,52,20.11
Bengaluru,2022-11-06,26.1,17.7,0.4,18.5,70,18.53
Bengaluru,2022-11-07,26.2,17.1,0.0,15.2,59,22.54
Bengaluru,2022-11-08,27.0,17.0,0.0,15.9,65,20.86
Bengaluru,2022-11-09,26.8,16.2,0.0,13.9,40,22.89
Bengaluru,2022-11-10,27.1,16.5,0.3,17.7,40,20.81
Bengaluru,2022-11-11,21.8,17.9,20.5,23.9,99,6.09
Bengaluru,2022-11-12,23.0,18.5,3.0,26.8,100,8.97
Bengaluru,2022-11-13,24.4,18.6,2.0,23.6,100,11.13
Bengaluru,2022-11-14,26.5,18.3,1.5,16.3,71,18.12
Bengaluru,2022-11-15,25.8,18.2,1.5,12.6,67,18.14
Bengaluru,2022-11-16,26.7,17.9,0.0,11.2,44,20.87
Bengaluru,2022-11-17,25.8,14.7,0.0,13.0,46,22.78
Bengaluru,2022-11-18,25.7,13.3,0.0,14.3,86,21.97
Bengaluru,2022-11-19,25.3,13.0,0.0,16.8,79,22.69
Bengaluru,2022-11-20,24.6,12.9,0.0,13.4,95,18.98
Bengaluru,2022-11-21,24.9,13.7,0.1,13.8,95,17.16
Bengaluru,2022-11-22,24.6,16.6,1.8,15.6,94,10.3
Bengaluru,2022-11-23,24.0,18.3,8.3,8.3,99,8.55
Bengaluru,2022-11-24,26.3,19.1,3.7,16.4,95,9.97
Bengaluru,2022-11-25,26.6,18.1,0.4,15.3,79,17.04
Bengaluru,2022-11-26,27.2,17.9,0.0,11.5,69,18.99
Bengaluru,2022-11-27,26.7,18.5,0.8,11.5,56,17.36
Bengaluru,2022-11-28,27.2,18.7,0.9,9.1,64,18.58
Bengaluru,2022-11-29,27.2,18.1,0.1,12.6,53,19.66
Bengaluru,2022-11-30,26.0,15.7,0.0,12.3,27,21.24
Bengaluru,2022-12-01,26.3,16.5,0.7,17.7,68,13.54
Bengaluru,2022-12-02,26.8,18.9,0.0,14.2,73,17.5
Bengaluru,2022-12-03,27.2,18.3,0.3,17.7,89,18.22
Bengaluru,2022-12-04,27.6,19.1,0.0,17.2,81,19.35
Bengaluru,2022-12-05,27.1,17.0,0.0,20.8,79,16.64
Bengaluru,2022-12-06,27.0,17.8,0.0,14.4,89,19.68
Bengaluru,2022-12-07,27.0,16.4,0.0,16.5,100,17.38
Bengaluru,2022-12-08,25.6,15.9,0.2,18.4,100,15.21
Bengaluru,2022-12-09,20.4,15.7,3.4,21.6,100,6.85
Bengaluru,2022-12-10,18.4,16.5,32.5,25.8,100,2.61
Bengaluru,2022-12-11,21.8,17.8,4.5,14.8,99,6.82
Bengaluru,2022-12-12,23.8,18.3,4.0,17.8,100,13.37
Bengaluru,2022-12-13,24.5,18.8,7.0,20.3,86,15.58
Bengaluru,2022-12-14,25.0,17.7,0.1,21.3,74,17.15
Bengaluru,2022-12-15,25.6,15.7,0.0,14.8,29,21.21
Bengaluru,2022-12-16,25.9,15.1,0.0,16.6,21,21.0
Bengaluru,2022-12-17,26.1,15.2,0.0,18.8,60,20.26
Bengaluru,2022-12-18,25.9,16.5,0.0,21.0,79,17.33
Bengaluru,2022-12-19,24.6,16.5,0.1,17.1,81,20.78
Bengaluru,2022-12-20,26.3,14.8,0.0,16.4,46,20.8
Bengaluru,2022-12-21,25.7,14.8,0.0,16.2,74,20.88
Bengaluru,2022-12-22,25.7,14.2,0.0,19.2,69,21.27
Bengaluru,2022-12-23,26.3,13.2,0.0,14.5,23,21.35
Bengaluru,2022-12-24,26.6,12.8,0.0,15.3,55,21.16
Bengaluru,2022-12-25,25.4,16.0,1.5,21.2,97,11.97
Bengaluru,2022-12-26,26.3,19.0,0.8,19.6,73,14.87
Bengaluru,2022-12-27,26.6,18.7,1.4,19.7,67,14.81
Bengaluru,2022-12-28,26.9,18.4,0.0,14.2,47,17.84
Bengaluru,2022-12-29,27.3,16.5,0.0,14.1,32,20.49
Bengaluru,2022-12-30,27.1,15.7,0.0,13.9,24,21.19
Bengaluru,2022-12-31,27.1,14.7,0.0,10.4,8,21.41
Bengaluru,2023-01-01,27.4,14.8,0.0,16.0,36,21.1
Bengaluru,2023-01-02,26.6,15.4,0.0,16.2,11,21.23
Bengaluru,2023-01-03,26.4,14.8,0.0,14.1,22,20.4
Bengaluru,2023-01-04,26.3,15.9,0.0,17.0,46,21.13
Bengaluru,2023-01-05,25.0,15.7,0.1,20.4,53,14.5
Bengaluru,2023-01-06,26.7,14.9,0.0,22.9,55,19.58
Bengaluru,2023-01-07,26.5,15.2,0.0,18.1,41,17.93
Bengaluru,2023-01-08,26.6,15.7,0.0,15.0,20,19.95
Bengaluru,2023-01-09,26.0,14.4,0.0,14.4,14,22.26
Bengaluru,2023-01-10,26.5,12.6,0.0,17.1,25,22.44
Bengaluru,2023-01-11,27.1,11.8,0.0,14.7,8,22.47
Bengaluru,2023-01-12,28.1,12.7,0.0,13.5,55,22.55
Bengaluru,2023-01-13,28.3,12.2,0.0,14.1,94,22.11
Bengaluru,2023-01-14,28.9,13.3,0.0,13.9,74,22.49
Bengaluru,2023-01-15,28.3,11.9,0.0,14.2,38,22.83
Bengaluru,2023-01-16,28.9,12.4,0.0,17.0,40,22.4
Bengaluru,2023-01-17,28.5,14.0,0.0,16.0,20,22.54
Bengaluru,2023-01-18,27.4,13.4,0.0,14.8,74,21.6
Bengaluru,2023-01-19,27.0,13.6,0.0,14.2,34,22.68
Bengaluru,2023-01-20,26.4,13.4,0.0,16.7,73,21.78
Bengaluru,2023-01-21,26.5,16.5,0.0,16.6,84,20.72
Bengaluru,2023-01-22,26.6,14.6,0.0,17.9,65,21.13
